rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1602,135.702,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,2,0,1,7+5,1
1603,135.702,MR,YCA1006-02-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1805-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,2,0,1,7+5,1
1604,135.693,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 YCF1603-04-00,STA2102-05-00 YCG1853-01-00,ME FREE,18.0,월금,1,0,0,2,6,3+2
1605,135.693,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 YCF1603-04-00,STA2102-05-00 YCS1003-02-00,ME FREE,18.0,월금,1,0,0,2,6,3+2
1606,135.693,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 YCF1603-04-00,STA2102-05-00 YCG1804-01-00,ME FREE,18.0,월금,1,0,0,2,6,3+2
1607,135.667,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 YCF1603-04-00,ECO1104-06-00 ECO1101-06-00,ME ECO1101,18.0,월금,1,0,0,3,5,2+3+2
1608,135.649,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1751-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월,0,0,0,1,4,1+2+1
1609,135.649,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1751-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월,0,0,0,1,4,1+1+2
1610,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1806-01-00,STA2102-05-00 YCK1998-03-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
1611,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1805-01-00,STA2102-05-00 YCK1998-03-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
1612,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1806-01-00,STA2102-05-00 YCG1804-01-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
1613,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1806-01-00,STA2102-05-00 YCG1853-01-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
1614,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1806-01-00,STA2102-05-00 YCK1998-03-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
1615,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1805-01-00,STA2102-05-00 YCG1853-01-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
1616,135.635,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1805-01-00,STA2102-05-00 YCK1998-03-00,ME FREE,18.0,월금,1,1,0,1,5,1+3
